hit_year,track_duration_ms,tempo,loudness,mode_name,key_mode,period,before_pandemic,major,minor
2016,259072,152.961,-7.684,minor,C# minor,Before Pandemic,1,0,1
2016,228640,190.169,-8.113,minor,B minor,Before Pandemic,1,0,1
2016,232560,129.988,-7.274,major,D major,Before Pandemic,1,1,0
2016,212647,102.034,-3.516,minor,C minor,Before Pandemic,1,0,1
2016,237786,107.331,-10.511,minor,B minor,Before Pandemic,1,0,1
2016,262693,131.05,-5.046,major,C# major,Before Pandemic,1,1,0
2016,275280,123.994,-15.099,major,G major,Before Pandemic,1,1,0
2016,226160,159.173,-5.84,minor,F# minor,Before Pandemic,1,0,1
2017,226160,159.173,-5.84,minor,F# minor,Before Pandemic,1,0,1
2016,202221,182.105,-4.081,major,D major,Before Pandemic,1,1,0
2016,220573,104.879,-5.336,major,A major,Before Pandemic,1,1,0
2016,213445,154.911,-6.666,major,C major,Before Pandemic,1,1,0
2016,209453,133.114,-9.093,minor,E minor,Before Pandemic,1,0,1
2016,290900,144.464,-5.936,major,D# major,Before Pandemic,1,1,0
2016,192376,95.018,-4.714,minor,B minor,Before Pandemic,1,0,1
2016,223853,113.939,-4.582,minor,A minor,Before Pandemic,1,0,1
2016,191942,117.139,-6.44,minor,A# minor,Before Pandemic,1,0,1
2016,201647,92.936,-5.473,minor,A minor,Before Pandemic,1,0,1
2016,228613,127.047,-6.506,minor,A# minor,Before Pandemic,1,0,1
2016,222600,130,-4.184,major,G major,Before Pandemic,1,1,0
2016,232093,118.97,-6.055,major,C major,Before Pandemic,1,1,0
2016,210573,95.04,-5.194,minor,C minor,Before Pandemic,1,0,1
2016,181880,99.962,-4.238,major,E major,Before Pandemic,1,1,0
2017,181880,99.962,-4.238,major,E major,Before Pandemic,1,1,0
2016,263786,111.995,-3.887,major,G major,Before Pandemic,1,1,0
2016,257346,151.478,-7.31,major,B major,Before Pandemic,1,1,0
2016,173346,157.97,-5.899,minor,B minor,Before Pandemic,1,0,1
2016,239853,122.803,-3.054,major,F# major,Before Pandemic,1,1,0
2016,230333,99.933,-5.231,major,D major,Before Pandemic,1,1,0
2017,233712,95.977,-3.183,minor,C# minor,Before Pandemic,1,0,1
2017,228826,178.085,-4.353,major,D major,Before Pandemic,1,1,0
2017,206693,134.066,-4.961,major,C# major,Before Pandemic,1,1,0
2017,177000,150.011,-6.638,minor,C# minor,Before Pandemic,1,0,1
2017,247160,103.019,-6.769,minor,B minor,Before Pandemic,1,0,1
2017,343150,127.079,-5.314,major,B major,Before Pandemic,1,1,0
2017,165386,98.938,-7.225,major,F major,Before Pandemic,1,1,0
2017,204346,124.988,-4.288,minor,A# minor,Before Pandemic,1,0,1
2017,220293,123.146,-4.183,major,F# major,Before Pandemic,1,1,0
2017,211466,85.043,-7.398,major,A# major,Before Pandemic,1,1,0
2017,288600,80.924,-4.284,major,G major,Before Pandemic,1,1,0
2017,182706,155.096,-6.366,minor,B minor,Before Pandemic,1,0,1
2017,204600,150.062,-8.795,major,D major,Before Pandemic,1,1,0
2017,233901,97.985,-5.043,major,F# major,Before Pandemic,1,1,0
2017,225983,106.97,-4.282,major,C# major,Before Pandemic,1,1,0
2017,210090,102.04,-5.025,minor,F minor,Before Pandemic,1,0,1
2017,204173,97.979,-3.094,minor,C minor,Before Pandemic,1,0,1
2017,291893,145.926,-6.163,major,C major,Before Pandemic,1,1,0
2017,219080,80.126,-11.462,minor,C# minor,Before Pandemic,1,0,1
2017,211475,100.041,-4.432,minor,D# minor,Before Pandemic,1,0,1
2017,199440,121.998,-4.063,minor,B minor,Before Pandemic,1,0,1
2017,223962,125.022,-5.792,minor,B minor,Before Pandemic,1,0,1
2017,326933,160.033,-10.425,major,C# major,Before Pandemic,1,1,0
2017,245653,117.967,-8.432,major,C major,Before Pandemic,1,1,0
2017,220780,99.968,-6.596,major,C major,Before Pandemic,1,1,0
2017,253106,75.016,-6.745,major,G major,Before Pandemic,1,1,0
2017,176320,114.145,-6.852,major,G# major,Before Pandemic,1,1,0
2017,230226,97.085,-5.74,major,C major,Before Pandemic,1,1,0
2017,250173,100.023,-7.788,minor,F minor,Before Pandemic,1,0,1
2017,188174,85.899,-6.652,major,C major,Before Pandemic,1,1,0
2017,224000,172.006,-4.83,minor,E minor,Before Pandemic,1,0,1
2017,269186,92.987,-5.946,minor,C minor,Before Pandemic,1,0,1
2017,222360,81.502,-5.628,minor,C# minor,Before Pandemic,1,0,1
2017,204502,106.023,-5.484,major,F# major,Before Pandemic,1,1,0
2017,210937,134.007,-9.35,minor,A minor,Before Pandemic,1,0,1
2017,214265,100.025,-6.198,major,G major,Before Pandemic,1,1,0
2017,211859,128.072,-6.416,minor,A minor,Before Pandemic,1,0,1
2017,261153,135.007,-4.868,major,D major,Before Pandemic,1,1,0
2017,239293,137.853,-4.757,major,D major,Before Pandemic,1,1,0
2017,221506,99.99,-6.428,major,D major,Before Pandemic,1,1,0
2017,251088,101.965,-4.068,minor,A minor,Before Pandemic,1,0,1
2017,163250,78.969,-5.151,minor,C# minor,Before Pandemic,1,0,1
2017,203760,144.004,-6.917,minor,B minor,Before Pandemic,1,0,1
2017,220306,75.016,-8.227,minor,G# minor,Before Pandemic,1,0,1
2017,209733,104.996,-6.39,minor,B minor,Before Pandemic,1,0,1
2017,187146,167.985,-4.804,major,C major,Before Pandemic,1,1,0
2017,242407,139.023,-3.744,minor,A# minor,Before Pandemic,1,0,1
2017,276333,149.953,-8.126,minor,C# minor,Before Pandemic,1,0,1
2017,208733,148.128,-4.952,minor,B minor,Before Pandemic,1,0,1
2017,268186,171.853,-7.724,minor,B minor,Before Pandemic,1,0,1
2017,218320,159.786,-6.631,minor,F minor,Before Pandemic,1,0,1
2017,224853,147.986,-7.306,major,A# major,Before Pandemic,1,1,0
2017,195920,90.024,-9.348,minor,E minor,Before Pandemic,1,0,1
2017,214801,110.03,-4.861,minor,F# minor,Before Pandemic,1,0,1
2017,209640,120.04,-10.179,minor,F minor,Before Pandemic,1,0,1
2017,238586,144.946,-2.512,major,C# major,Before Pandemic,1,1,0
2017,185946,139.913,-6.664,major,C# major,Before Pandemic,1,1,0
2017,144244,160.517,-3.892,major,C# major,Before Pandemic,1,1,0
2017,208120,139.992,-9.319,major,G# major,Before Pandemic,1,1,0
2017,298940,111.98,-11.377,major,B major,Before Pandemic,1,1,0
2017,227360,110.684,-8.983,minor,A minor,Before Pandemic,1,0,1
2017,230269,73.483,-7.204,major,A# major,Before Pandemic,1,1,0
2017,243836,130.049,-3.37,major,G major,Before Pandemic,1,1,0
2017,234308,99.915,-6.295,minor,A minor,Before Pandemic,1,0,1
2017,230813,104.066,-3.299,minor,C# minor,Before Pandemic,1,0,1
2017,188253,125.976,-4.603,major,A# major,Before Pandemic,1,1,0
2017,237734,95.252,-5.389,major,C major,Before Pandemic,1,1,0
2017,223413,101.018,-3.105,minor,B minor,Before Pandemic,1,0,1
2017,217603,90.246,-4.188,major,C major,Before Pandemic,1,1,0
2017,222533,75.977,-6.185,major,A# major,Before Pandemic,1,1,0
2017,201000,91.873,-8.237,major,F major,Before Pandemic,1,1,0
2017,202546,136.948,-6.351,major,C# major,Before Pandemic,1,1,0
2017,181812,162.991,-7.323,minor,B minor,Before Pandemic,1,0,1
2017,275080,135.002,-6.2,major,C major,Before Pandemic,1,1,0
2017,209269,129.014,-5.274,minor,F minor,Before Pandemic,1,0,1
2017,190311,139.976,-7.509,minor,G minor,Before Pandemic,1,0,1
2017,271519,113.756,-6.186,major,C# major,Before Pandemic,1,1,0
2017,216408,98.064,-3.862,major,C# major,Before Pandemic,1,1,0
2017,304041,141.967,-5.661,minor,C# minor,Before Pandemic,1,0,1
2017,340706,120.019,-4.616,major,F major,Before Pandemic,1,1,0
2017,240439,94.963,-6.503,minor,F minor,Before Pandemic,1,0,1
2017,231906,139.934,-6.406,major,G# major,Before Pandemic,1,1,0
2017,197773,113.301,-14.712,minor,C minor,Before Pandemic,1,0,1
2017,222786,112.961,-6.669,major,A# major,Before Pandemic,1,1,0
2017,233087,139.948,-5.475,major,B major,Before Pandemic,1,1,0
2017,205733,72.997,-6.016,major,A major,Before Pandemic,1,1,0
2017,197170,155.955,-4.701,major,G major,Before Pandemic,1,1,0
2017,216896,104.992,-4.323,minor,G minor,Before Pandemic,1,0,1
2017,199849,109.959,-5.212,minor,F minor,Before Pandemic,1,0,1
2017,212027,111.002,-6.35,major,G# major,Before Pandemic,1,1,0
2017,126345,139.059,-6.405,major,C# major,Before Pandemic,1,1,0
2017,184040,132.023,-5.147,minor,B minor,Before Pandemic,1,0,1
2018,198973,77.169,-9.211,major,G major,Before Pandemic,1,1,0
2018,263400,95.05,-6.312,major,G# major,Before Pandemic,1,1,0
2018,164205,153.995,-6.61,major,A# major,Before Pandemic,1,1,0
2018,217306,104.988,-4.333,major,D major,Before Pandemic,1,1,0
2018,218146,159.801,-6.136,minor,F minor,Before Pandemic,1,0,1
2018,221440,140.06,-8.094,major,G# major,Before Pandemic,1,1,0
2018,253390,136.048,-3.998,minor,F minor,Before Pandemic,1,0,1
2019,253390,136.048,-3.998,minor,F minor,Before Pandemic,1,0,1
2018,184732,107.01,-3.061,major,G major,Before Pandemic,1,1,0
2018,217925,91.03,-5.833,major,C# major,Before Pandemic,1,1,0
2018,235545,124.959,-6.825,major,C major,Before Pandemic,1,1,0
2019,235545,124.959,-6.825,major,C major,Before Pandemic,1,1,0
2018,210746,93.372,-6.474,major,G# major,Before Pandemic,1,1,0
2018,239835,83.903,-7.23,minor,F# minor,Before Pandemic,1,0,1
2018,231266,145.038,-5.804,major,A# major,Before Pandemic,1,1,0
2019,231266,145.038,-5.804,major,A# major,Before Pandemic,1,1,0
2018,217288,105.115,-4.877,minor,F minor,Before Pandemic,1,0,1
2018,239341,81.201,-3.726,minor,A# minor,Before Pandemic,1,0,1
2018,209320,116.073,-6.021,minor,A minor,Before Pandemic,1,0,1
2018,166605,75.023,-4.88,major,G# major,Before Pandemic,1,1,0
2018,226973,129.923,-4.333,major,C major,Before Pandemic,1,1,0
2018,201253,143.916,-7.748,major,F# major,Before Pandemic,1,1,0
2019,201253,143.916,-7.748,major,F# major,Before Pandemic,1,1,0
2018,205920,121.993,-5.507,minor,A minor,Before Pandemic,1,0,1
2018,131064,142.929,-3.874,major,E major,Before Pandemic,1,1,0
2018,187146,167.997,-4.833,major,C major,Before Pandemic,1,1,0
2018,181414,139.977,-7.501,major,A# major,Before Pandemic,1,1,0
2018,232253,95.045,-10.178,minor,A minor,Before Pandemic,1,0,1
2018,142273,119.957,-9.309,minor,F minor,Before Pandemic,1,0,1
2018,202620,95.079,-2.384,minor,A minor,Before Pandemic,1,0,1
2018,181279,118.384,-3.539,major,C major,Before Pandemic,1,1,0
2018,232959,97.994,-7.442,major,C major,Before Pandemic,1,1,0
2018,212120,147.997,-5.68,minor,F minor,Before Pandemic,1,0,1
2018,245386,175.957,-3.791,major,C# major,Before Pandemic,1,1,0
2018,179404,125.978,-9.127,major,C# major,Before Pandemic,1,1,0
2018,196746,86.016,-5.731,major,B major,Before Pandemic,1,1,0
2019,196746,86.016,-5.731,major,B major,Before Pandemic,1,1,0
2018,163253,79.028,-5.115,minor,C# minor,Before Pandemic,1,0,1
2018,303076,137.996,-5.32,major,D major,Before Pandemic,1,1,0
2018,197436,91.97,-7.621,major,A major,Before Pandemic,1,1,0
2018,203417,120.274,-5.114,minor,G minor,Before Pandemic,1,0,1
2019,203417,120.274,-5.114,minor,G minor,Before Pandemic,1,0,1
2018,201240,134.945,-5.021,minor,A# minor,Before Pandemic,1,0,1
2018,172800,100.007,-8.28,major,A major,Before Pandemic,1,1,0
2018,223346,143.95,-5.408,minor,G# minor,Before Pandemic,1,0,1
2018,211440,100.584,-4.979,major,D major,Before Pandemic,1,1,0
2018,210240,102.036,-6.271,major,F# major,Before Pandemic,1,1,0
2018,312820,155.008,-3.714,major,G# major,Before Pandemic,1,1,0
2019,312820,155.008,-3.714,major,G# major,Before Pandemic,1,1,0
2018,276147,145.914,-5.145,major,D major,Before Pandemic,1,1,0
2018,124055,119.889,-6.71,major,F major,Before Pandemic,1,1,0
2018,268866,87.908,-6.343,major,D major,Before Pandemic,1,1,0
2018,211360,140.025,-7.321,major,F major,Before Pandemic,1,1,0
2018,232186,96.924,-4.946,major,G# major,Before Pandemic,1,1,0
2018,190288,181.982,-5.402,major,D major,Before Pandemic,1,1,0
2018,201000,91.873,-8.237,major,F major,Before Pandemic,1,1,0
2018,213400,126.058,-7.343,major,A# major,Before Pandemic,1,1,0
2018,225773,120.024,-6.159,major,F major,Before Pandemic,1,1,0
2018,238614,154.983,-8.074,major,G major,Before Pandemic,1,1,0
2018,179506,80.006,-6.544,major,A major,Before Pandemic,1,1,0
2018,223712,125.022,-6.337,minor,B minor,Before Pandemic,1,0,1
2018,216631,133.123,-5.042,major,G# major,Before Pandemic,1,1,0
2018,157643,157.036,-4.926,major,D major,Before Pandemic,1,1,0
2018,175229,94.981,-6.531,major,B major,Before Pandemic,1,1,0
2018,190642,126.088,-5.014,major,G# major,Before Pandemic,1,1,0
2018,210787,152.279,-8.23,minor,F# minor,Before Pandemic,1,0,1
2018,197993,124.987,-4.614,minor,B minor,Before Pandemic,1,0,1
2018,224284,138.015,-7.955,major,C# major,Before Pandemic,1,1,0
2018,197546,145.031,-5.934,major,C# major,Before Pandemic,1,1,0
2018,237240,203.911,-7.709,major,C# major,Before Pandemic,1,1,0
2018,203760,143.931,-6.929,minor,B minor,Before Pandemic,1,0,1
2018,200853,109.974,-5.253,minor,C# minor,Before Pandemic,1,0,1
2018,225013,81.059,-5.338,minor,C minor,Before Pandemic,1,0,1
2018,202546,136.948,-6.351,major,C# major,Before Pandemic,1,1,0
2018,214846,123.994,-3.24,minor,A minor,Before Pandemic,1,0,1
2018,189466,100,-6.112,major,D major,Before Pandemic,1,1,0
2018,196800,132.025,-5.305,major,G major,Before Pandemic,1,1,0
2018,233712,95.977,-3.183,minor,C# minor,Before Pandemic,1,0,1
2018,233087,139.948,-5.475,major,B major,Before Pandemic,1,1,0
2018,260000,135.702,-4.706,major,C major,Before Pandemic,1,1,0
2018,173600,170.142,-5.482,major,B major,Before Pandemic,1,1,0
2018,259333,145.965,-10.532,major,F# major,Before Pandemic,1,1,0
2018,205453,85.028,-8.633,major,D# major,Before Pandemic,1,1,0
2018,173799,89.391,-7.648,minor,F# minor,Before Pandemic,1,0,1
2018,228373,134.17,-4.954,major,C# major,Before Pandemic,1,1,0
2018,225266,81.774,-4.574,major,C# major,Before Pandemic,1,1,0
2018,214289,100.015,-2.749,major,F major,Before Pandemic,1,1,0
2019,214289,100.015,-2.749,major,F major,Before Pandemic,1,1,0
2018,417920,96.507,-3.445,minor,B minor,Before Pandemic,1,0,1
2018,185200,199.669,-3.704,major,D# major,Before Pandemic,1,1,0
2018,219706,94.997,-6.556,major,C# major,Before Pandemic,1,1,0
2018,250173,100.023,-7.788,minor,F minor,Before Pandemic,1,0,1
2018,278893,97.04,-7.031,major,A# major,Before Pandemic,1,1,0
2018,214466,150.002,-7.866,minor,B minor,Before Pandemic,1,0,1
2018,199625,92.456,-6.109,major,G major,Before Pandemic,1,1,0
2018,135090,128.009,-5.723,minor,A minor,Before Pandemic,1,0,1
2018,199849,110.001,-5.131,minor,F minor,Before Pandemic,1,0,1
2018,173627,180.073,-4.736,minor,A minor,Before Pandemic,1,0,1
2018,129105,134.068,-5.334,minor,B minor,Before Pandemic,1,0,1
2018,213993,79.882,-5.628,minor,B minor,Before Pandemic,1,0,1
2019,213993,79.882,-5.628,minor,B minor,Before Pandemic,1,0,1
2018,200480,95.001,-3.416,major,C# major,Before Pandemic,1,1,0
2018,121886,64.934,-10.068,major,B major,Before Pandemic,1,1,0
2018,217120,71.957,-7.906,major,E major,Before Pandemic,1,1,0
2018,221800,144.075,-6.16,minor,F# minor,Before Pandemic,1,0,1
2018,332300,173.948,-4.75,minor,C# minor,Before Pandemic,1,0,1
2018,217946,97.028,-5.975,major,G major,Before Pandemic,1,1,0
2018,209733,105.009,-6.36,minor,B minor,Before Pandemic,1,0,1
2018,204346,124.949,-4.374,minor,A# minor,Before Pandemic,1,0,1
2019,157066,136.041,-5.56,major,F# major,Before Pandemic,1,1,0
2019,158040,89.911,-5.574,major,D major,Before Pandemic,1,1,0
2019,201660,136.041,-7.05,major,F# major,Before Pandemic,1,1,0
2019,194087,135.128,-10.965,major,G major,Before Pandemic,1,1,0
